Frog,PAngle,KNEgain
0,16.16111754,3.584419522
1,17.58295003,3.64415174
1,13.53094008,3.338643301
1,14.71437761,3.428312729
2,20.93548401,3.924310249
2,16.55356222,3.92431024
2,15.67856769,4.87643592
3,14.27114507,5.502483748
3,11.30321965,4.503925294
4,13.28460353,3.025879
4,8.633448861,1.6495983
4,11.38369925,1.63676468
4,11.89612255,2.39403916
4,12.75320036,3.886675105
5,5.775355056,0.99185824
5,5.039155255,1.006766876
5,4.304509022,0.66146773
6,14.32818792,2.39368318
6,16.17925019,2.7607934
7,7.188516293,2.005647928
7,18.13479762,4.564156511
7,13.93180327,3.480315513
7,8.654964628,1.727006714
