Frog,SF,Speed
0,0.558035714,0.035680046
1,1.201923077,0.089956682
1,0.865051903,0.064911909
1,1.453488372,0.091872489
2,1.506024096,0.134903263
2,1.373626374,0.103031062
2,1.396648045,0.124539749
3,1.308900524,0.106998595
3,1.712328767,0.128590067
4,1.404494382,0.097754296
4,2.403846154,0.176360714
4,2.066115702,0.140899444
4,1.666666667,0.116354106
4,1.655629139,0.106489441
5,2.717391304,0.192205513
5,3.012048193,0.22985303
5,3.086419753,0.224622419
6,2.252252252,0.162817615
6,1.219512195,0.093708643
7,2.577319588,0.227220345
7,2.100840336,0.160827303
7,2.688172043,0.198859105
7,2.049180328,0.142283608
